data,inicio,fim,titulo,local,participantes
2021-03-16,16h00,17h30,1ª Reunião Extraordinária do Conselho do Programa de Parcerias de Investimentos (CPPI),Brasília/DF,
2021-03-17,09h30,10h00,Sergio Segovia -  Presidente da Apex-Brasil,Palácio do Planalto,
2021-03-17,10h10,11h30,Sergio Segovia -  Presidente da Apex-Brasil,Palácio do Planalto,Ernesto Araújo -  Ministro das Relações Exteriores;;Paulo Guedes -  Ministro da Economia;;Tarcísio Gomes de Freitas -  Ministro da Infraestrutura;;Tereza Cristina -  Ministra de Estado da Agricultura -  Pecuária e Abastecimento;;João Roma -  Ministro da Cidadania;;Bento Albuquerque -  Ministro das Minas e Energia;;Fábio Faria -  Ministro da Comunicação;;Leônidas de Araújo Medeiros Júnior -  Ministro de Estado da Ciência -  Tecnologia e Inovações -  substituto;;Ricardo Salles -  Ministro do Meio Ambiente;;Gilson Machado -  Ministro do Turismo; e;Damares Alves -  Ministra da Mulher -  da Família e dos Direitos Humanos.
2021-03-17,11h35,12h05,Braga Netto -  Ministro-Chefe da Casa Civil da Presidência da República,Palácio do Planalto,
2021-03-17,12h10,12h30,Milton Ribeiro -  Ministro de Estado da Educação,Palácio do Planalto,
2021-03-17,14h00,14h30,Braga Netto -  Ministro-Chefe da Casa Civil da Presidência da República; e Fernando Azevedo -  Ministro de Estado da Defesa,Palácio do Planalto,
2021-03-17,14h30,15h00,Ernesto Araújo -  Ministro de Estado das Relações Exteriores,Palácio do Planalto,Euclides Acevedo -  Chanceler do Paraguai.
2021-03-17,15h00,15h30,Pedro Cesar Sousa -  Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República,Palácio do Planalto,
2021-03-17,15h30,16h00,André Mendonça -  Ministro de Estado da Justiça e Segurança Pública,Palácio do Planalto,José Levi Mello do Amaral Júnior -  Advogado-Geral da União.
2021-03-17,16h00,17h00,Lançamento do Programa Integra Brasil,Palácio do Planalto,
2021-03-18,09h30,10h00,Pedro Guimarães -  Presidente da CAIXA,Palácio do Planalto,
