,0
Manoela Albuquerque,2.5
Presidente da Republica Popular da China,2.5
Gustavo Uribe,2.5
Claudia Bomtempo,2.5
Giovani Cherini,2.5
Clebio Cavagnolle,2.5
Embaixador Sarquis Jose Buainain Sarquis,2.5
Bispo Abner Ferreira,2.5
Luiz Felipe Barbieri,2.5
Hiran Gonçalves,2.5
Humberto Moura,2.5
Pedro Lupion,2.5
Samuel Câmara,2.5
Mateus Vargas,2.5
Alessandro Vieira,2.5000000000000004
Belivaldo Chagas,2.5000000000000004
Fabio Sousa,2.5833333333333335
Elmano Ferrer,2.5833333333333335
Jorge Mussi,2.5833333333333335
Joaquim Passarinho,2.6666666666666665
Gilberto Nascimento,2.666666666666667
Paulo Sousa,2.666666666666667
Luis Alberto Lacalle Pou,2.666666666666667
Sergio Camargo,2.75
Sebastião Bomfim,2.75
Silvio Costa Filho,2.75
Antonio Carlos Bezerra Leonel,2.75
Mecias de Jesus,2.75
Thiago Meirelles Fernandes Pereira,2.75
Miguel Homes,2.833333333333333
Sergio Leite de Andrade,2.833333333333333
Marcos Faraco,2.833333333333333
Roberto Castello Branco,2.833333333333333
Daniella Marques,2.8333333333333335
Antonio Denarium,2.9166666666666665
Ricardo Izar,2.9166666666666665
Roberto Mira,2.9166666666666665
Wellington Fagundes,2.9833333333333334
Arthur Oliveira Maia,3.0
Cristina Machado da CostaSilva,3.0
Sandro Serpa,3.0
Reinhold Stephanes Junior,3.0
Leonardo Augusto de Andrade Barbosa,3.0
Nelson Luiz Sperle Teich,3.0
Wilson Miranda Lima,3.0
Jose Renan Vasconcelos Calheiros Filho,3.0
Rolando Alexandre de Souza,3.0
Augusto Nunes,3.0
Baleia Rossi,3.0
Rubens Menin,3.083333333333333
Sergio Segovia,3.083333333333333
Paula Belmonte,3.0833333333333335
Alfredo Menezes,3.0833333333333335
Bruno Grossi,3.0833333333333335
Luciano Bivar,3.166666666666667
Sergio Ricardo Segovia Barbosa,3.25
Silvinei Vasques,3.25
Marcelo de Carvalho,3.25
Luis Carlos Heinze,3.25
Meyer Joseph Nigri,3.25
ACM Neto,3.333333333333333
Felipe Francischini,3.3333333333333335
Walton Alencar Rodrigues,3.3333333333333335
Ronaldo Lima dos Santos,3.3333333333333335
Fred Costa,3.416666666666667
Ze Silva,3.5
Gutemberg de Paula Fonseca,3.5
Jussara Soares,3.5
Lucio Mosquini,3.5
Jose Lopes Hott,3.5
Andre Fernandes,3.5000000000000004
Delegado Éder Mauro,3.583333333333333
Ricardo Velez Rodriguez,3.6666666666666665
Luciano Hang,3.6666666666666665
Claudio Dantas,3.6666666666666665
Alexandre Garcia,3.666666666666667
Paulo Eduardo Martins,3.666666666666667
General Decio dos Santos Brasil,3.75
Eduardo Eugênio,3.75
Gustavo Bebianno,3.833333333333333
Abraham Bragança de Vasconcellos Weintraub,3.833333333333333
Guilherme Derrite,3.8333333333333335
Antonio Paulo Vogel,3.9166666666666665
Cuiabano Lima,3.916666666666667
Bruno Funchal,3.916666666666667
Antonio Carlos Paiva Futuro,4.083333333333333
Arolde de Oliveira,4.166666666666666
João Augusto Nardes,4.333333333333333
Joaquim SilvaLuna,4.333333333333333
Coronel Carlos Alberto Pereira Leonel Marsiglia,4.416666666666666
Otavio Brandelli,4.416666666666666
Mansueto Almeida,4.416666666666667
Wellington Roberto,4.483333333333333
Marcelo Augusto Xavier,4.5
Jhonatan de Jesus,4.5
Joaquim Levy,4.5
Policarpo Junior,4.5
Marcela Mattos,4.5
Bruno Dantas,4.5
Alceu Moreira,4.583333333333333
Flavio Rocha,4.583333333333333
Roberto Alvim,4.583333333333333
Marcos Pereira,4.583333333333333
Eros Biondini,4.666666666666666
